Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
Save the Last Dance;Jan;12;2001;13;91.038.276;122.244.329
Mortal Kombat;Aug;18;1995;20;70.433.227;122.133.227
Executive Decision;Mar;15;1996;55;56.679.192;122.079.192
Executive Decision;Mar;15;1996;55;56.679.192;122.079.192
The Princess Diaries 2: Royal Engagement;Aug;11;2004;45;95.149.435;122.071.435
Poltergeist;Jun;4;1982;10.Tem;74.706.019;121.706.019
Sahara;Apr;8;2005;145;68.671.925;121.671.925
Intolerable Cruelty;Oct;10;2003;60;35.327.628;121.327.628
Starship Troopers;Nov;7;1997;100;54.768.952;121.1
Apocalypto;Dec;8;2006;40;50.866.635;121.032.272
What to Expect When You're Expecting;May;18;2012;37.5;41.152.203;120.925.697
Parental Guidance;Dec;25;2012;25;77.267.296;120.832.383
Insidious Chapter 3;Jun;5;2015;10;52.218.558;120.678.444
Eight Below;Feb;17;2006;40;81.612.565;120.455.994
Lethal Weapon;Mar;6;1987;15;6.519.235;12.019.235
Volcano;Apr;25;1997;90;47.546.796;120.1
Star Trek: Generations;Nov;18;1994;38;75.671.262;120
Jeepers Creepers II;Aug;29;2003;25;35.623.801;119.923.801
Road Trip;May;19;2000;16;68.525.609;11.973.911
Spy Kids 2: The Island of Lost Dreams;Aug;7;2002;38;85.846.296;119.721.296
Surrogates;Sep;25;2009;80;38.577.772;11.966.835
Red Cliff;Nov;20;2009;40;0.627047;119.627.047
Charlie Wilson's War;Dec;21;2007;75;66.661.095;119.512.771
Blazing Saddles;Feb;7;1974;2.Haz;119.5;119.5
The Omen;Jun;6;2006;25;54.607.383;119.295.584
The Shallows;Jun;24;2016;13;55.121.623;118.888.025
The Purge: Election Year;Jul;1;2016;10;7.904.244;118.557.124
Body of Lies;Oct;10;2008;67.5;39.394.666;11.855.653
Disturbia;Apr;13;2007;20;80.818.974;118.537.627
Saw V;Oct;24;2008;10.Ağu;56.746.769;118.209.778
Shall We Dance?;Oct;15;2004;40;57.887.882;118.097.882
Star Trek: Insurrection;Dec;11;1998;70;70.187.658;117.8
A Nightmare on Elm Street;Apr;30;2010;35;63.075.011;117.729.621
The Client;Jul;20;1994;45;92.115.211;117.615.211
Why Him?;Dec;23;2016;38;60.323.786;117.523.786
Blue Streak;Sep;17;1999;36;6.820.819;117.448.157
Lost in Translation;Sep;12;2003;4;44.585.453;117.085.297
Snow Dogs;Jan;18;2002;32;81.150.692;116.898.028
Water for Elephants;Apr;22;2011;38;58.709.717;116.809.717
Earth;Apr;22;2009;47;32.011.576;116.773.317
The Siege;Nov;6;1998;70;40.934.175;116.625.798
Closer;Dec;3;2004;35;33.987.757;116.177.695
Pitch Perfect;Sep;28;2012;17;65.001.093;116.044.347
The Notebook;Jun;25;2004;30;81.001.787;116.025.023
Diamonds Are Forever;Dec;17;1971;7.Şub;43.8;116
The Iron Lady;Jan;13;2012;14;29.959.436;115.592.104
Bride Wars;Jan;9;2009;30;5.871.551;115.150.424
Warm Bodies;Feb;1;2013;30;66.380.662;115.121.608
Finding Neverland;Nov;12;2004;25;51.676.606;115.036.108
Get Shorty;Oct;20;1995;30.25;72.021.008;115.021.008
Saving Mr. Banks;Dec;13;2013;35;83.299.761;114.962.525
The Lake House;Jun;16;2006;40;52.330.111;114.830.111
The Corpse Bride;Sep;23;2005;30;53.359.111;114.770.654
We Were Soldiers;Mar;1;2002;70;78.120.196;114.658.262
Freddy vs. Jason;Aug;15;2003;25;82.622.655;114.576.403
Coyote Ugly;Aug;4;2000;45;60.786.269;113.916.474
Changeling;Oct;24;2008;55;35.739.802;11.380.558
Changeling;Oct;24;2008;55;35.739.802;11.380.558
Insomnia;May;24;2002;46;67.263.182;113.622.499
The Score;Jul;13;2001;68;71.069.884;113.542.091
Judge Dredd;Jun;30;1995;85;34.687.912;113.487.912
Underworld: Evolution;Jan;20;2006;45;62.318.875;113.417.762
Prisoners;Sep;20;2013;46;61.002.302;113.402.302
Think Like a Man;Apr;20;2012;12;91.547.205;113.373.764
Species;Jul;7;1995;35;60.054.449;113.354.449
Arthur et les Minimoys;Jan;12;2007;80;15.132.763;113.325.743
Cats & Dogs: The Revenge of Kitty Galore;Jul;30;2010;85;43.585.753;113.026.383
The Dark Tower;Aug;4;2017;60;50.701.325;113.018.076
The Reader;Dec;10;2008;32.5;34.194.407;112.964.875
Last Vegas;Jan;28;2013;28;63.914.167;112.914.167
Final Destination 3;Feb;10;2006;25;54.098.051;112.798.051
Tooth Fairy;Jan;22;2010;48;60.022.256;112.610.386
Rambo;Jan;25;2008;47.5;42.754.105;112.214.531
Final Destination;Mar;17;2000;23;53.302.314;11.203.687
Frankenstein;Nov;4;1994;45;22.006.296;112.006.296
The Boxtrolls;Sep;26;2014;60;50.837.305;111.946.251
Doctor Zhivago;Dec;22;1965;11;111.721;111.859.493
The Pianist;Dec;27;2002;35;32.519.322;111.854.182
You Only Live Twice;Jun;13;1967;9.May;43.1;111.6
The Purge: Anarchy;Jul;18;2014;9;7.156.255;111.534.881
White Chicks;Jun;23;2004;20;69.148.997;111.448.997
The 5th Wave;Jan;22;2016;38;34.912.982;111.336.398
Seventh Son;Feb;6;2015;95;17.725.785;111.125.785
Step Up;Aug;11;2006;12;65.328.121;110.989.157
The Net;Jul;28;1995;22;50.621.733;110.521.733
Free Birds;Nov;1;2013;55;5.575.048;110.387.072
Free Birds;Nov;1;2013;55;5.575.048;110.387.072
Peter Pan: Return to Neverland;Feb;15;2002;20;48.430.258;109.862.682
The Dukes of Hazzard;Aug;5;2005;53;80.270.227;109.848.461
The Dukes of Hazzard;Aug;5;2005;53;80.270.227;109.848.461
Hoodwinked;Jan;13;2006;17.May;51.386.611;10.984.339
Sideways;Oct;22;2004;17;71.502.303;109.793.192
Porky's;Mar;19;1982;4;109.492.484;109.492.484
Män som hatar kvinnor;May;29;2009;13;12.749.992;109.421.911
Fool's Gold;Feb;8;2008;72.5;70.231.041;109.362.966
Billy Elliot;Oct;13;2000;5;21.995.263;109.267.134
The Amityville Horror;Apr;15;2005;18.May;65.233.369;109.175.673
Planet 51;Nov;20;2009;60;4.219.406;108.996.113
One Flew Over the Cuckoo's Nest;Nov;19;1975;4.Nis;108.981.275;108.981.275
Neighbors 2: Sorority Rising;May;20;2016;35;5.534.073;108.758.521
Pompeii;Feb;21;2014;80;23.169.033;108.469.033
10 Cloverfield Lane;Mar;11;2016;5;72.082.999;108.286.422
ParaNorman;Aug;17;2012;60;56.003.051;108.119.662
Hidalgo;Mar;5;2004;78;67.286.731;108.086.731
The Texas Chainsaw Massacre;Oct;17;2003;9;80.571.655;107.967.319
The American President;Nov;17;1995;62;60.022.813;107.822.813
Three Kings;Oct;1;1999;48;60.652.036;107.752.036
Paul Blart: Mall Cop 2;Apr;17;2015;38;71.091.594;107.650.646
Ace Ventura: Pet Detective;Feb;4;1994;12;72.217.396;107.217.396
The Chronicles of Riddick;Jun;11;2004;120;57.712.751;107.212.751
Shaft;Jun;16;2000;53.012.938;70.327.868;107.190.108
Shaft;Jun;16;2000;53.012.938;70.327.868;107.190.108
About Schmidt;Dec;13;2002;30;65.005.217;107.054.484
Driving Miss Daisy;Dec;13;1989;7.May;106.593.296;106.593.296
Made of Honor;May;2;2008;40;46.012.734;106.548.738
Spirit: Stallion of the Cimarron;May;24;2002;80;7.321.531;10.651.531
Get Hard;Mar;27;2015;40;90.411.453;106.511.453
Mr. Holland’s Opus;Dec;29;1995;31;82.582.604;106.282.604
Sisters;Dec;18;2015;30;87.044.645;10.603.066
Mission to Mars;Mar;10;2000;90;60.874.615;106
Horrible Bosses 2;Nov;26;2014;40;54.445.357;105.945.357
Life as We Know It;Oct;8;2010;38;53.374.681;105.887.837
The Man From U.N.C.L.E.;Aug;14;2015;75;45.445.109;105.445.109
The Brothers Grimm;Aug;26;2005;80;37.899.638;105.299.638
Dirty Grandpa;Jan;22;2016;11.May;35.593.113;10.524.141
Forgetting Sarah Marshall;Apr;18;2008;30;63.172.463;105.173.042
Along Came a Spider;Apr;6;2001;28;74.058.698;105.159.085
Cinderella Man;Jun;3;2005;88;61.649.911;105.021.488
Chappie;Mar;6;2015;49;31.569.268;105.002.056
The Campaign;Aug;10;2012;95;86.907.746;104.907.746
Training Day;Oct;5;2001;45;76.261.036;104.505.362
Vicky Cristina Barcelona;Aug;15;2008;16;23.216.709;104.504.817
The Tuxedo;Sep;27;2002;60;50.586;104.429.625
The Prestige;Oct;20;2006;40;53.089.891;104.407.366
Dragonheart;May;31;1996;57;5.136.468;10.436.468
Dragonheart;May;31;1996;57;5.136.468;10.436.468
Under Siege 2: Dark Territory;Jul;14;1995;60;50.024.083;104.324.083
Sanctum;Feb;4;2011;30;2.320.931;104.283.753
Eyes Wide Shut;Jul;16;1999;65;55.691.208;104.267.443
Gangster Squad;Jan;11;2013;60;46.000.903;104.100.903
Snake Eyes;Aug;7;1998;73;55.591.409;103.891.409
Saw;Oct;29;2004;1.Şub;55.968.727;103.880.027
Resident Evil;Mar;15;2002;35;40.119.709;103.787.401
Escape Plan;Oct;18;2013;70;25.135.965;103.735.965
Ouija;Oct;24;2014;5;5.085.601;103.683.342
The Little Prince;Feb;12;2016;77.5;1.311.213;103.529.508
Dawn of the Dead;Mar;19;2004;28;58.990.765;103.452.875
The Water Horse: Legend of the Deep;Dec;25;2007;40;40.412.817;103.429.755
Rugrats in Paris;Nov;17;2000;30;76.501.438;103.284.813
Birdman or (The Unexpected Virtue of Ignorance);Oct;17;2014;18;42.340.598;103.215.094
Transcendence;Apr;18;2014;100;23.022.309;103.039.258
Project X;Mar;2;2012;12;54.731.865;103.028.188
Jimmy Neutron: Boy Genius;Dec;21;2001;25;80.936.232;102.992.536
Blue Jasmine;Jul;26;2013;18;33.404.871;102.912.961
My Bloody Valentine;Jan;16;2009;14;51.545.952;102.836.002
The Cable Guy;Jun;14;1996;47;60.240.295;102.825.796
The Hitchhiker's Guide to the Galaxy;Apr;29;2005;45;51.019.112;102.746.214
Love and Other Drugs;Nov;24;2010;30;32.367.005;102.716.321
Jigsaw;Oct;27;2017;10;38.052.832;10.263.033
Pineapple Express;Aug;6;2008;26;8.734.138;102.404.019
Ladder 49;Oct;1;2004;60;74.541.707;102.332.848
The Time Traveler's Wife;Aug;14;2009;39;63.414.846;102.332.135
Butch Cassidy and the Sundance Kid;Oct;24;1969;6;1.023.089;1.023.089
Mary Poppins;Aug;26;1964;6;102.3;102.3
Zombieland;Oct;2;2009;23.Haz;75.590.286;102.236.596
John Q;Feb;15;2002;36;71.026.631;102.226.631
Guess Who;Mar;25;2005;35;68.915.888;102.115.888
Timecop;Sep;16;1994;28;44.853.581;102.053.581
Kung Fu Hustle;Apr;8;2005;20;17.104.669;102.034.104
Shaun the Sheep;Aug;5;2015;25;19.375.982;101.937.062
Nim's Island;Apr;4;2008;37;48.006.762;101.857.425
The Devil Inside;Jan;6;2012;1;53.262.945;10.175.949
Little Man;Jul;14;2006;64;58.636.047;101.636.047
Just Married;Jan;10;2003;19;56.127.162;101.564.935
Miss Congeniality 2: Armed and Fabulous;Mar;24;2005;60;48.478.006;101.382.396
Alexander and the Terrible, Horrible, No Good, Very Bad Day;Oct;10;2014;28;66.954.149;101.379.287
Mars Attacks!;Dec;13;1996;80;37.771.017;101.371.017
Scream 2;Dec;12;1997;24;101.363.301;101.363.301
Crash;May;6;2005;7.303.082;55.334.418;101.173.038
Paul;Mar;18;2011;40;37.412.945;101.162.106
Joy;Dec;25;2015;60;56.451.232;101.134.059
Life;Mar;24;2017;58;30.234.022;10.100.331
Life;Mar;24;2017;58;30.234.022;10.100.331
Heaven is for Real;Apr;16;2014;12;91.386.097;100.919.111
Fight Club;Oct;15;1999;65;37.030.102;100.851.705
Courage Under Fire;Jul;12;1996;46;59.003.384;100.833.145
Just Like Heaven;Sep;16;2005;58;4.831.813;100.687.083
Just Like Heaven;Sep;16;2005;58;4.831.813;100.687.083
Vacation;Jul;29;2015;31;58.884.188;100.655.892
Up Close & Personal;Mar;1;1996;60;51.045.801;100.645.801
Little Miss Sunshine;Jul;26;2006;8;59.891.098;100.642.353
A Knight’s Tale;May;11;2001;41;56.083.966;100.622.586
No se Aceptan Devoluciones;Aug;30;2013;5;44.467.206;100.486.616
Any Given Sunday;Dec;22;1999;60;75.530.832;100.230.832
Insidious;Apr;1;2011;1.May;5.400.915;99.870.886
Hellboy;Apr;2;2004;60;59.623.958;99.823.958
Mad Max;Mar;21;1980;0.2;Ağu.75;99.75
How to be Single;Feb;12;2016;37;46.843.513;99.595.932
Street Fighter;Dec;23;1994;35;33.423;99.423
Nacho Libre;Jun;16;2006;32;80.197.993;99.296.462
Hitman;Nov;21;2007;17.May;39.687.694;99.135.571
Where the Wild Things Are;Oct;16;2009;100;77.233.467;99.123.656
Justin Bieber: Never Say Never;Feb;11;2011;13;7.301.391;99.034.125
The Wild;Apr;14;2006;80;37.384.046;99.010.667
The Time Machine;Mar;8;2002;80;56.684.819;9.898.359
Philomena;Nov;22;2013;12;37.709.979;98.963.392
Black Mass;Sep;18;2015;53;62.575.678;98.837.872
Black Mass;Sep;18;2015;53;62.575.678;98.837.872
Paycheck;Dec;25;2003;60;53.789.313;98.819.789
Heaven Can Wait;Jun;28;1978;15;98.8;98.8
Les Visiteurs;Jul;12;1996;7;0.659;98.754
Bowfinger;Aug;13;1999;55;66.458.769;98.699.769
Bowfinger;Aug;13;1999;55;66.458.769;98.699.769
The Visit;Sep;11;2015;5;65.206.105;98.689.296
Contraband;Jan;13;2012;25;66.528;98.406.855
Atomic Blonde;Jul;28;2017;30;51.573.925;98.368.372
Evolution;Jun;8;2001;80;38.311.134;98.341.932
Predator;Jun;12;1987;18;59.735.548;98.267.558
Rush;Sep;20;2013;38;26.947.624;98.230.839
Jin líng shí san chai;Jan;20;2012;100;0.311434;98.227.017
Are We There Yet?;Jan;21;2005;20;82.674.398;98.114.471
Billy Jack;Jan;1;1971;0.8;98;98
Phone Booth;Apr;4;2003;11;46.566.212;97.837.138
Nanny McPhee and the Big Bang;Aug;20;2010;35;29.197.642;97.799.865
Evil Dead;Apr;5;2013;17;54.239.856;97.778.356
13 Going On 30;Apr;23;2004;37;57.139.723;97.658.712
The Man with the Golden Gun;Dec;20;1974;7;21;97.6
Kick-Ass;Apr;16;2010;28;48.071.303;97.531.134
Green Zone;Mar;12;2010;100;35.497.337;9.752.302
42;Apr;12;2013;40;95.020.213;97.470.701
Once Upon a Time in Mexico;Sep;12;2003;29;56.330.657;97.413.527
Inspector Gadget;Jul;23;1999;75;97.387.965;97.387.965
The Rite;Jan;28;2011;37;33.047.633;97.143.987
The Hours;Dec;27;2002;25;41.675.994;97.030.468
Enemy at the Gates;Mar;16;2001;85;51.396.781;96.971.293
Jarhead;Nov;4;2005;72;6.264.754;9.694.754
Ballerina;Aug;25;2017;30;2.185.807;9.692.307
Star Trek VI: The Undiscovered Country;Dec;6;1991;27;74.888.996;96.9
My Sister's Keeper;Jun;26;2009;27.May;4.920.023;96.673.002
Red Eye;Aug;19;2005;26;57.891.803;96.666.486
The Lucky One;Apr;20;2012;25;60.457.138;96.633.833
Tammy;Jul;2;2014;20;84.525.432;96.407.655
8MM;Feb;26;1999;40;36.443.442;96.398.826
The Stepford Wives;Jun;11;2004;100;59.475.623;96.221.971
The Manchurian Candidate;Jul;30;2004;80;65.948.711;96.148.711
The Tigger Movie;Feb;11;2000;20;45.542.421;96.147.688
TMNT;Mar;23;2007;35;54.149.098;96.096.018
Dolphin Tale;Sep;23;2011;37;72.286.779;96.068.724
The 6th Day;Nov;17;2000;82;34.543.701;96.024.898
Scream 4;Apr;15;2011;40;38.180.928;9.598.959
Harlem Nights;Nov;17;1989;30;60.857.262;95.857.262
Poltergeist;May;22;2015;35;47.425.125;95.825.125
Star Trek II: The Wrath of Khan;Jun;4;1982;12;78.912.963;95.8
Underworld;Sep;19;2003;22;5.197.069;95.708.457
The Butterfly Effect;Jan;23;2004;13;57.924.679;95.638.592
Killers;Jun;4;2010;75;47.059.963;95.572.749
Shooter;Mar;23;2007;60;47.003.582;9.553.856
Peter Pan;Dec;25;2003;100;4.841.785;95.255.485
Old Dogs;Nov;25;2009;35;4.949.206;95.104.304
40 Days and 40 Nights;Mar;1;2002;17;37.939.782;95.092.667
The Guardian;Sep;29;2006;70;55.011.732;9.497.354
Be Cool;Mar;4;2005;75;55.849.401;94.944.017
The Lovely Bones;Dec;11;2009;95;44.114.232;94.894.448
1941;Dec;14;1979;32;34.175;94.875
Riddick;Sep;6;2013;38;42.025.135;94.763.758
The Wedding Planner;Jan;26;2001;28;60.400.856;94.728.529
Role Models;Nov;7;2008;28;67.300.955;94.500.826
The Hundred-Foot Journey;Aug;8;2014;22;54.235.441;94.270.488
The River Wild;Sep;30;1994;45;46.815;94.215
Southpaw;Jul;24;2015;30;52.421.953;94.207.861
Safe Haven;Feb;14;2013;28;7.139.912;94.050.951
The Internship;Jun;7;2013;58;44.672.764;93.672.764
The Internship;Jun;7;2013;58;44.672.764;93.672.764
Der Untergang;Feb;18;2005;13.May;550.194;93.631.744
The Color Purple;Dec;18;1985;15;93.589.701;93.589.701
Money Monster;May;13;2016;27;41.012.075;93.469.699
Speed Racer;May;9;2008;120;43.945.766;93.394.462
Calendar Girls;Dec;19;2003;10;31.011.616;93.074.616
Michael Clayton;Oct;5;2007;21.May;49.033.882;92.987.651
When Harry Met Sally…;Jul;14;1989;16;92.823.546;9.296.196
Deuce Bigalow: Male Gigolo;Dec;10;1999;18;65.535.067;92.935.067
House of Flying Daggers;Dec;3;2004;12;11.050.094;92.863.945
The Last Song;Mar;31;2010;20;62.950.384;92.678.948
Friday the 13th;Feb;13;2009;17;65.002.019;92.670.237
Gwoemul;Mar;9;2007;12;2.201.923;92.618.117
I Am Sam;Dec;28;2001;22;40.270.895;92.542.418
Four Brothers;Aug;12;2005;30;74.494.381;92.494.381
The Family Stone;Dec;16;2005;18;60.062.868;92.357.499
I Love You, Man;Mar;20;2009;40;7.201.301;92.302.502
The Skeleton Key;Aug;12;2005;40;47.907.715;92.256.918
Spotlight;Nov;6;2015;20;45.055.776;92.217.729
Secret Window;Mar;12;2004;40;47.958.031;92.111.551
White Noise;Jan;7;2005;10;5.609.436;9.209.436
No Reservations;Jul;27;2007;28;43.107.979;91.943.956
Treasure Planet;Nov;27;2002;100;38.120.554;91.8
Red Riding Hood;Mar;11;2011;42;37.662.162;91.678.442
My Big Fat Greek Wedding 2;Mar;25;2016;18;59.689.605;91.651.878
Get Him to the Greek;Jun;4;2010;40;61.153.526;91.455.875
Drag Me To Hell;May;29;2009;30;42.100.625;91.388.487
Office Christmas Party;Dec;9;2016;45;54.767.494;91.342.494
The Purge;Jun;7;2013;3;64.473.115;91.266.581
Season of the Witch;Jan;7;2011;40;24.827.228;911.266
Romeo Must Die;Mar;22;2000;25;55.973.336;9.103.676
The Karate Kid;Jun;22;1984;8;90.815.558;90.815.558
Kangaroo Jack;Jan;17;2003;60;66.723.216;90.723.216
Autumn in New York;Aug;11;2000;40;37.752.931;90.717.684
King Kong;Dec;17;1976;23;52.614.445;90.614.445
Burlesque;Nov;24;2010;55;39.440.655;90.552.675
Burlesque;Nov;24;2010;55;39.440.655;90.552.675
Galaxy Quest;Dec;24;1999;45;71.423.726;90.523.726
Madea Goes To Jail;Feb;20;2009;17.May;90.508.336;90.508.336
The Tale of Despereaux;Dec;19;2008;60;50.877.145;90.482.317
Bring it On;Aug;25;2000;10;6.835.355;9.045.355
In the Heart of the Sea;Dec;11;2015;100;25.020.758;90.420.758
Final Destination 2;Jan;31;2003;26;46.896.664;90.396.664
The Second Best Exotic Marigold Hotel;Mar;6;2015;10;33.078.266;90.384.306
Bedazzled;Oct;20;2000;48;37.879.996;90.376.224
This is 40;Dec;21;2012;35;67.544.505;90.221.182
Racing Stripes;Jan;14;2005;30;49.772.522;8.995.554
Sucker Punch;Mar;25;2011;75;36.392.502;89.758.389
Anchorman: The Legend of Ron Burgundy;Jul;9;2004;25;84.136.909;89.476.265
Stigmata;Sep;10;1999;32;50.041.732;89.441.732
About Time;Nov;1;2013;12;15.323.921;89.309.178
Underworld 3: Rise of the Lycans;Jan;23;2009;35;45.802.315;89.102.315
The Transporter 2;Sep;2;2005;32;43.095.856;88.978.458
Rumor Has It;Dec;25;2005;70;4.299.614;88.933.562
State of Play;Apr;17;2009;60;37.017.955;8.883.221
Ben-Hur;Aug;19;2016;95;26.410.477;887.251
La Môme;Jun;8;2007;15.May;10.299.782;88.611.837
Snowpiercer;Jun;27;2014;40;4.563.029;8.806.988
Match Point;Dec;28;2005;15;23.089.926;87.973.835
Deliver Us from Evil;Jul;2;2014;30;30.577.122;87.956.618
Spawn;Jul;31;1997;40;54.979.992;87.949.859
Sinister;Oct;12;2012;3;48.086.903;87.727.807
Ali;Dec;25;2001;109;58.183.966;87.683.966
R.V.;Apr;28;2006;55;71.724.497;87.473.024
R.V.;Apr;28;2006;55;71.724.497;87.473.024
Bicentennial Man;Dec;17;1999;90;58.220.776;87.420.776
Peter Pan;Feb;5;1953;4;87.4;87.4
Paranormal Activity: The Marked Ones;Jan;3;2014;5;32.462.372;87.251.115
Volver;Nov;3;2006;9.Nis;12.899.867;87.226.613
Hall Pass;Feb;25;2011;68;45.060.734;87.173.475
The Lincoln Lawyer;Mar;18;2011;40;580.092;87.145.086
The Shaggy Dog;Mar;10;2006;60;61.123.569;87.123.569
Sabrina;Dec;15;1995;58;53.458.319;87.1
Sabrina;Dec;15;1995;58;53.458.319;87.1
El Laberinto del Fauno;Dec;29;2006;16;37.634.615;87.041.569
Star Trek III: The Search for Spock;Jun;1;1984;18;76.471.046;87
The Naked Gun 2½: The Smell of Fear;Jun;28;1991;23;86.930.411;86.930.411
Epic Movie;Jan;26;2007;20;39.739.367;86.858.578
Dinner for Schmucks;Jul;30;2010;69;73.026.337;86.796.502
Oceans;Apr;22;2010;80;19.422.319;8.678.753
A Million Ways to Die in The West;May;30;2014;40;42.720.965;86.778.557
Old School;Feb;21;2003;24;75.155;86.765.463
Abduction;Sep;23;2011;35;28.087.155;86.648.359
Rat Race;Aug;17;2001;48;56.607.223;86.607.223
The Kingdom;Sep;28;2007;72.5;4.746.725;86.509.602
The Constant Gardener;Aug;31;2005;25.May;33.579.798;86.301.599
Young Frankenstein;Dec;15;1974;2.Ağu;86.3;86.3
The Inbetweeners;Sep;7;2012;5.Tem;0.035955;8.605.132
The Cell;Aug;18;2000;35;61.280.963;85.911.226
Max Payne;Oct;17;2008;35;40.689.393;85.763.888
Tears of the Sun;Mar;7;2003;75;43.632.458;85.632.458
The Whole Nine Yards;Feb;18;2000;24;57.262.492;85.527.867
Paper Towns;Jul;24;2015;12;32.000.304;855.123
Collateral Beauty;Dec;16;2016;36;31.016.021;8.531.507
Stripes;Jun;26;1981;10;85.3;85.3
Jackass: Number Two;Sep;22;2006;11;72.778.712;85.278.712
Date Movie;Feb;17;2006;20;48.548.426;85.146.165
Final Fantasy: The Spirits Within;Jul;11;2001;137;3.213.183;8.513.183
Das Boot;Feb;10;1982;12;11.487.676;84.970.337
Meet the Spartans;Jan;25;2008;30;38.233.676;84.646.831
J. Edgar;Nov;9;2011;35;3.730.603;8.460.603
Sicario;Sep;18;2015;30;46.889.293;84.448.946
Pinocchio;Feb;9;1940;2.289.247;84.3;84.3
Priest;May;13;2011;60;29.136.626;84.154.026
Les Bronzés 3: amis pour la vie;Dec;31;2006;42;0;83.833.602
The Illusionist;Aug;18;2006;16.May;39.868.642;83.792.062
Piranha 3D;Aug;20;2010;24;25.003.155;8.366.016
Snatch;Dec;8;2000;10;30.093.107;83.593.107
Point Break;Jul;12;1991;24;43.218.387;83.531.958
Les Choristes;Nov;26;2004;5.May;3.629.758;83.529.758
Airplane!;Jul;4;1980;3.May;83.453.539;83.453.539
Fantasia;Nov;13;1940;Şub.28;83.32;83.32
Assassins;Oct;6;1995;50;30.306.268;83.306.268
Blow;Apr;6;2001;30;52.990.775;83.282.296
In & Out;Sep;19;1997;35;63.826.569;83.226.569
Sky High;Jul;29;2005;35;63.939.454;83.109.359
Dead Man Walking;Dec;29;1995;11;39.387.284;83.088.295
Zodiac;Mar;2;2007;85;33.080.084;83.080.084
The Strangers;May;30;2008;9;5.259.761;83.051.676
Rings;Feb;3;2017;25;27.793.018;8.299.146
28 Days Later…;Jun;27;2003;8;45.064.915;82.955.633
The Possession;Aug;31;2012;14;49.130.588;82.925.064
Edge of Darkness;Jan;29;2010;60;4.331.389;82.812.456
Act of Valor;Feb;24;2012;12;70.012.847;82.497.035
La famille Bélier;May;8;2015;11;0;8.243.867
Carrie;Oct;18;2013;30;35.266.619;8.240.952
Men of Honor;Nov;10;2000;32;48.814.909;82.339.483
Big Mommas: Like Father, Like Son;Feb;18;2011;32;37.915.414;8.233.245
Hostel;Jan;6;2006;4.Ağu;47.326.473;8.224.111
Identity;Apr;25;2003;28;52.131.264;82.183.683
Elizabeth;Nov;6;1998;25;30.082.699;82.150.642
Reign of Fire;Feb;19;2002;60;43.061.982;82.150.183
Letters to Juliet;May;14;2010;30;53.032.453;82.148.538
Catwoman;Jul;23;2004;100;40.202.379;82.145.379
On Her Majesty's Secret Service;Dec;18;1969;8;22.Ağu;82
The Land Before Time;Nov;18;1988;12.Mar;48.092.846;81.972.846
Hitman: Agent 47;Aug;21;2015;35;2.246.745;8.196.745
Ouija: Origin of Evil;Oct;21;2016;9;35.144.505;81.831.866
Hot Fuzz;Apr;20;2007;16;23.618.786;81.742.618
Midnight Run;Jul;20;1988;30;38.413.606;81.613.606
M*A*S*H;Jan;1;1970;3.May;81.6;81.6
Hope Floats;May;29;1998;30;60.110.313;81.529
Premonition;Mar;16;2007;20;47.852.604;81.461.343
Tinker Tailor Soldier Spy;Dec;9;2011;21;24.149.393;81.452.811
Vampires Suck;Aug;18;2010;20;36.661.504;81.424.988
Pain & Gain;Apr;26;2013;26;49.875.291;81.275.291
Apocalypse Now;Aug;15;1979;31.May;78.8;81.250.488
The Grey;Jan;27;2012;25;51.580.136;81.249.176
Fried Green Tomatoes;Dec;27;1991;11;8.120.483;8.120.483
Police Academy;Mar;23;1984;4.May;81.198.894;81.198.894
Das Leben der Anderen;Feb;9;2007;2;11.284.657;81.197.047
Frankenweenie;Oct;5;2012;39;35.287.788;81.150.788
Duplicity;Mar;20;2009;60;40.572.825;81.079.566
The Rundown;Sep;26;2003;85;47.641.743;80.831.893
Sinbad: Legend of the Seven Seas;Jul;2;2003;60;26.483.452;80.767.884
Spy Kids: All the Time in the World;Aug;19;2011;27;38.536.376;80.681.183
Savages;Jul;6;2012;45;473.231;8.059.486
Hannibal Rising;Feb;9;2007;50;27.669.725;80.583.311
Fiddler on the Roof;Jan;1;1971;9;80.5;80.5
The Rookie;Mar;29;2002;22;75.600.072;80.491.516
Did You Hear About the Morgans?;Dec;18;2009;58;29.580.087;80.480.566
Did You Hear About the Morgans?;Dec;18;2009;58;29.580.087;80.480.566
30 Days of Night;Oct;19;2007;30;39.568.996;80.276.156
Fame;Sep;25;2009;18;2.245.551;80.227.619
The Wedding Ringer;Jan;16;2015;23;64.460.211;80.171.596
Finding Forrester;Dec;19;2000;43;51.768.623;80.013.623
Footloose;Feb;17;1984;8.Şub;80;80
The Ten Commandments;Oct;5;1956;13.May;80;80
Exit Wounds;Mar;16;2001;33;51.758.599;79.958.599
Dragon Wars: D-War;Sep;14;2007;32;10.977.721;79.915.361
The Golden Child;Dec;12;1986;12;79.817.937;79.817.937
Revolutionary Road;Dec;26;2008;45;2.295.134;7.960.482
Good Bye, Lenin!;Feb;27;2004;6.Nis;4.063.859;79.384.539
Muppets Most Wanted;Mar;21;2014;55;51.178.893;79.312.301
Muppets Most Wanted;Mar;21;2014;55;51.178.893;79.312.301
